Fiscal Year,Ad Campaign Name,Agency,Org Ad Placed In (Agency submission),Org Ad Placed In (MOECM Standardized),Outlet Channel (Agency submission),Type of Media (MOECM),Language,Spend Amount,Vendor Name,Ad Placement Method,Quarter (MOECM),Ad Start Date,Ad End Date,Purpose
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Our Time Press,"DBG Media Publishers of Our Time Press, Inc.",Newspaper (Print),Print,English,1000,OpAD Media,Placement Vendor,Q2,10/20/2022,10/20/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Our Time Press,"DBG Media Publishers of Our Time Press, Inc.",Newspaper (Print),Print,English,1000,OpAD Media,Placement Vendor,Q2,10/27/2022,10/27/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Desi Talk,Desi Talk,Newspaper (Print),Print,English,650,OpAD Media,Placement Vendor,Q2,11/04/2022,11/04/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Desi Talk,Desi Talk,Newspaper (Print),Print,English,650,OpAD Media,Placement Vendor,Q2,10/07/2022,10/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Desi Talk,Desi Talk,Newspaper (Print),Print,English,650,OpAD Media,Placement Vendor,Q2,10/14/2022,10/14/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Desi Talk,Desi Talk,Newspaper (Print),Print,English,650,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Desi Talk,Desi Talk,Newspaper (Print),Print,English,650,OpAD Media,Placement Vendor,Q2,10/28/2022,10/28/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,EBC Radio,EBC,Radio Channel,Radio,English,2210,OpAD Media,Placement Vendor,Q2,10/31/2022,11/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,EBC Radio,EBC,Radio Channel,Radio,English,2210,OpAD Media,Placement Vendor,Q2,10/31/2022,11/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,EBC Radio,EBC,Radio Channel,Radio,English,3315,OpAD Media,Placement Vendor,Q2,10/19/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,EBC Radio,EBC,Radio Channel,Radio,English,3230,OpAD Media,Placement Vendor,Q2,10/19/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,EMG Media Group,Encompass Media Group,Other,Other,English,46875,OpAD Media,Placement Vendor,Q2,10/03/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,EMG Media Group,Encompass Media Group,Other,Other,English,45500,OpAD Media,Placement Vendor,Q2,10/03/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Extreme Reach,Extreme Reach,Other,Other,English,130,OpAD Media,Placement Vendor,Q2,10/01/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WNYW,FOX,Television Channel,TV,English,8500,OpAD Media,Placement Vendor,Q2,11/06/2022,11/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WNYW,FOX,Television Channel,TV,English,16001,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WNYW,FOX,Television Channel,TV,English,3570,OpAD Media,Placement Vendor,Q2,10/31/2022,11/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WNYW,FOX,Television Channel,TV,English,2423,OpAD Media,Placement Vendor,Q2,11/07/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WNYW,FOX,Television Channel,TV,English,16341,OpAD Media,Placement Vendor,Q2,10/24/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Google,Google,Other,Other,English,7538,OpAD Media,Placement Vendor,Q2,10/21/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Hamodia,Hamodia Corp,Newspaper (Print),Print,English,1800,OpAD Media,Placement Vendor,Q2,11/02/2022,11/02/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Hamodia,Hamodia Corp,Newspaper (Print),Print,English,3600,OpAD Media,Placement Vendor,Q2,10/20/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Harlem Community News,"Harlem Community Newspapers, Inc.",Newspaper (Print),Print,English,775,OpAD Media,Placement Vendor,Q2,11/03/2022,11/03/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Harlem Community News,"Harlem Community Newspapers, Inc.",Newspaper (Print),Print,English,775,OpAD Media,Placement Vendor,Q2,10/06/2022,10/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Harlem Community News,"Harlem Community Newspapers, Inc.",Newspaper (Print),Print,English,775,OpAD Media,Placement Vendor,Q2,10/13/2022,10/13/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Harlem Community News,"Harlem Community Newspapers, Inc.",Newspaper (Print),Print,English,775,OpAD Media,Placement Vendor,Q2,10/20/2022,10/20/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Harlem Community News,"Harlem Community Newspapers, Inc.",Newspaper (Print),Print,English,775,OpAD Media,Placement Vendor,Q2,10/27/2022,10/27/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WQHT,HOT97,Radio Channel,Radio,English,3158,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WQHT,HOT97,Radio Channel,Radio,English,2542,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WQHT,HOT97,Radio Channel,Radio,English,1356,OpAD Media,Placement Vendor,Q2,10/25/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WQHT,HOT97,Radio Channel,Radio,English,2197,OpAD Media,Placement Vendor,Q2,10/25/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Hulu TV,Hulu TV,Other,Other,English,11357,OpAD Media,Placement Vendor,Q2,10/24/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Hulu TV,Hulu TV,Other,Other,English,11357,OpAD Media,Placement Vendor,Q2,10/24/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WLTW,iHeart Media,Radio Channel,Radio,English,7884,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WLTW,iHeart Media,Radio Channel,Radio,English,8011,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WWPR,iHeart Media,Radio Channel,Radio,English,3426,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WWPR,iHeart Media,Radio Channel,Radio,English,3957,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WLTW,iHeart Media,Radio Channel,Radio,English,2720,OpAD Media,Placement Vendor,Q2,10/24/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WLTW,iHeart Media,Radio Channel,Radio,English,2890,OpAD Media,Placement Vendor,Q2,10/24/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WWPR,iHeart Media,Radio Channel,Radio,English,1768,OpAD Media,Placement Vendor,Q2,10/24/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WWPR,iHeart Media,Radio Channel,Radio,English,2618,OpAD Media,Placement Vendor,Q2,10/24/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,ITV Gold,ITV GOLD TV Channel,Television Channel,TV,English,2546,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,ITV Gold,ITV GOLD TV Channel,Television Channel,TV,English,859,OpAD Media,Placement Vendor,Q2,10/28/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,2305,OpAD Media,Placement Vendor,Q2,10/31/2022,11/09/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,2479,OpAD Media,Placement Vendor,Q2,10/31/2022,11/09/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,111,OpAD Media,Placement Vendor,Q2,11/03/2022,11/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,2210,OpAD Media,Placement Vendor,Q2,10/31/2022,11/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,2210,OpAD Media,Placement Vendor,Q2,10/31/2022,11/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,3687,OpAD Media,Placement Vendor,Q2,10/17/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,3737,OpAD Media,Placement Vendor,Q2,10/17/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,111,OpAD Media,Placement Vendor,Q2,10/22/2022,10/29/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,111,OpAD Media,Placement Vendor,Q2,10/22/2022,10/29/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WVIP,WVIP 93.5 FM,Radio Channel,Radio,English,5865,OpAD Media,Placement Vendor,Q2,10/19/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,JIG Media New York LLC,JIG Media New York LLC,Other,Other,English,2700,OpAD Media,Placement Vendor,Q2,10/24/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Katz-OTT,Katz-OTT,Other,Other,English,8420,OpAD Media,Placement Vendor,Q2,11/01/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Facebook,Meta,Other,Other,English,51512,OpAD Media,Placement Vendor,Q2,11/01/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Facebook,Meta,Social Media,Other,English,30538,OpAD Media,Placement Vendor,Q2,10/01/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"MightyHive, Inc.",MightyHive,Other,Other,English,95,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"MightyHive, Inc.",MightyHive,Other,Other,English,704,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Beacon,New York Beacon,Newspaper (Print),Print,English,2885,OpAD Media,Placement Vendor,Q2,11/03/2022,11/03/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Beacon,New York Beacon,Newspaper (Print),Print,English,2885,OpAD Media,Placement Vendor,Q2,10/06/2022,10/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Beacon,New York Beacon,Newspaper (Print),Print,English,2885,OpAD Media,Placement Vendor,Q2,10/13/2022,10/13/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Beacon,New York Beacon,Newspaper (Print),Print,English,2885,OpAD Media,Placement Vendor,Q2,10/20/2022,10/20/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Beacon,New York Beacon,Newspaper (Print),Print,English,2885,OpAD Media,Placement Vendor,Q2,10/27/2022,10/27/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Carib News,New York Carib News,Newspaper (Print),Print,English,1509,OpAD Media,Placement Vendor,Q2,11/02/2022,11/02/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Carib News,New York Carib News,Newspaper (Print),Print,English,1509,OpAD Media,Placement Vendor,Q2,10/05/2022,10/05/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Carib News,New York Carib News,Newspaper (Print),Print,English,1509,OpAD Media,Placement Vendor,Q2,10/12/2022,10/12/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Carib News,New York Carib News,Newspaper (Print),Print,English,1509,OpAD Media,Placement Vendor,Q2,10/19/2022,10/19/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The New York Carib News,New York Carib News,Newspaper (Print),Print,English,1509,OpAD Media,Placement Vendor,Q2,10/26/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"5212 CABLEVISION, News 12 Brooklyn, NY-Cable",News 12,Television Channel,TV,English,4424,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"5958 CABLEVISION, News 12 Bronx, NYCable",News 12,Television Channel,TV,English,4424,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"5212 CABLEVISION, News 12 Brooklyn, NY-Cable",News 12,Television Channel,TV,English,1772,OpAD Media,Placement Vendor,Q2,10/22/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"5212 CABLEVISION, News 12 Brooklyn, NY-Cable",News 12,Television Channel,TV,English,1887,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"5958 CABLEVISION, News 12 Bronx, NYCable",News 12,Television Channel,TV,English,1543,OpAD Media,Placement Vendor,Q2,10/22/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"5958 CABLEVISION, News 12 Bronx, NYCable",News 12,Television Channel,TV,English,2117,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,News India Times USA,News India Times,Newspaper (Print),Print,English,1650,OpAD Media,Placement Vendor,Q2,11/04/2022,11/04/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,News India Times USA,News India Times,Newspaper (Print),Print,English,1650,OpAD Media,Placement Vendor,Q2,10/07/2022,10/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,News India Times USA,News India Times,Newspaper (Print),Print,English,1650,OpAD Media,Placement Vendor,Q2,10/14/2022,10/14/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,News India Times USA,News India Times,Newspaper (Print),Print,English,1650,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,News India Times USA,News India Times,Newspaper (Print),Print,English,1650,OpAD Media,Placement Vendor,Q2,10/28/2022,10/28/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,One Caribbean Television,One Caribbean Television,Television Channel,TV,English,3421,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,One Caribbean Television,One Caribbean Television,Television Channel,TV,English,978,OpAD Media,Placement Vendor,Q2,10/22/2022,10/25/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,One Caribbean Television,One Caribbean Television,Television Channel,TV,English,1530,OpAD Media,Placement Vendor,Q2,10/26/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Outfront Media,Outfront Media,Other,Other,English,6000,OpAD Media,Placement Vendor,Q2,10/10/2022,11/06/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,9563,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,3081,OpAD Media,Placement Vendor,Q2,10/31/2022,11/04/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,1169,OpAD Media,Placement Vendor,Q2,11/07/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,744,OpAD Media,Placement Vendor,Q2,10/25/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,1488,OpAD Media,Placement Vendor,Q2,10/25/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,1275,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,WPIX,PIX 11,Television Channel,TV,English,2125,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"1850 RCN, Effectv/New York City Zone, NY-Cable",RCN Corporation,Television Channel,TV,English,2151,OpAD Media,Placement Vendor,Q2,10/31/2022,11/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"1850 RCN, Effectv/New York City Zone, NY-Cable",RCN Corporation,Television Channel,TV,English,1020,OpAD Media,Placement Vendor,Q2,10/28/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AM News Corp,Schneps Media,Newspaper (Digital),Digital,English,1400,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AMNY-Metro,Schneps Media,Newspaper (Digital),Digital,English,7778,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Brooklyn Paper,Schneps Media,Newspaper (Digital),Digital,English,3337,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Brownstoner Media,Schneps Media,Magazine (Digital),Digital,English,4200,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,The Bronx Times Reporter,Schneps Media,Newspaper (Digital),Digital,English,2169,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Caribbean Life News,Schneps Media,Newspaper (Digital),Digital,English,316,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,QNS,Schneps Media,Newspaper (Digital),Digital,English,4000,OpAD Media,Placement Vendor,Q2,10/21/2022,10/21/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AMNY-Metro,Schneps Media,Newspaper (Print),Print,English,2318,OpAD Media,Placement Vendor,Q2,11/03/2022,11/03/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AMNY-Metro,Schneps Media,Newspaper (Print),Print,English,2318,OpAD Media,Placement Vendor,Q2,10/08/2022,10/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AMNY-Metro,Schneps Media,Newspaper (Print),Print,English,2318,OpAD Media,Placement Vendor,Q2,10/13/2022,10/13/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AMNY-Metro,Schneps Media,Newspaper (Print),Print,English,2318,OpAD Media,Placement Vendor,Q2,10/20/2022,10/20/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,AMNY-Metro,Schneps Media,Newspaper (Print),Print,English,2318,OpAD Media,Placement Vendor,Q2,10/27/2022,10/27/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Snap Chat,Snap Chat,Other,Other,English,24598,OpAD Media,Placement Vendor,Q2,10/13/2022,10/31/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Snap Chat,Snap Chat,Other,Other,English,31032,OpAD Media,Placement Vendor,Q2,11/01/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Sony Entertainment Television (SET),Sony Entertainment Television (SET India),Television Channel,TV,English,15915,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,Sony Entertainment Television (SET),Sony Entertainment Television (SET India),Television Channel,TV,English,5371,OpAD Media,Placement Vendor,Q2,10/28/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,1870,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,5780,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,404,OpAD Media,Placement Vendor,Q2,10/31/2022,11/08/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,13655,OpAD Media,Placement Vendor,Q2,10/31/2022,11/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,3077,OpAD Media,Placement Vendor,Q2,10/31/2022,11/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,799,OpAD Media,Placement Vendor,Q2,10/31/2022,11/07/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,765,OpAD Media,Placement Vendor,Q2,10/22/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,1445,OpAD Media,Placement Vendor,Q2,10/22/2022,10/26/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,638,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"2939 SPECTRUM, Local-New York 1 News-Cable",Spectrum,Television Channel,TV,English,1360,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,1279,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
FY23,NYC Racial Justice Commission Voter Education Campaign,RJC,"3961 SPECTRUM, New York Market Zone,-Cable",Spectrum,Television Channel,TV,English,3239,OpAD Media,Placement Vendor,Q2,10/27/2022,10/30/2022,Programmatic: Civic Engagement & Elections
